turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2004-05,19,63,106,314,University of California, Los Angeles,240,907,18,97,7,29
,2005-06,20,69,203,618,University of California, Los Angeles,439,1303,24,164,5,39
,2006-07,21,70,210,608,University of California, Los Angeles,456,1186,22,99,8,36
