turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2004-05,18,69,33,124,University of Florida,89,606,31,31,1,32
,2005-06,19,184,130,519,University of Florida,355,1302,51,115,5,39
,2006-07,20,147,154,531,University of Florida,347,1328,42,96,1,40
