turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
38,1998-99,20,17,88,207,University of California, Los Angeles,163,480,27,136,30,24
60,1999-00,21,17,140,319,University of California, Los Angeles,248,740,21,136,52,33
66,2000-01,22,18,156,375,University of California, Los Angeles,292,861,22,275,60,32
52,2001-02,23,23,164,386,University of California, Los Angeles,296,865,18,255,42,33
