turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
78,2014-15,22,50,205,558,University of Louisiana at Lafayette,378,951,22,346,56,34
91,2015-16,23,47,232,642,University of Louisiana at Lafayette,443,1042,24,411,61,34
