turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2003-04,19,44,137,352,Gonzaga University,258,644,12,132,10,31
,2004-05,20,88,226,589,Gonzaga University,454,1059,19,171,14,31
,2005-06,21,56,306,926,Gonzaga University,617,1205,35,182,11,33
