turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2002-03,18,15,57,162,University of Michigan,127,,13,104,35,30
,2003-04,19,11,34,109,University of Michigan,68,,11,74,15,22
,2004-05,20,18,73,215,University of Michigan,149,,8,79,11,23
,2005-06,21,11,84,244,University of Michigan,190,,18,115,30,30
