off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
3,9,.423,5,2007-08,24,LAL,9,30,26,71,SG,11,regular,4,2,17
4,15,.375,10,2009-10,26,TOT,11,28,32,113,SF-SG,14,regular,3,1,7
0,0,,4,2009-10,26,CLE,0,0,0,5,SG,2,regular,0,0,3
4,15,.375,6,2009-10,26,GSW,11,28,32,108,SF,12,regular,3,1,4
0,1,,0,2007-08,24,LAL,0,0,0,2,SG,0,playoffs,0,0,1
