turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2003-04,19,97,129,369,California State University, Fullerton,321,872,30,56,2,28
,2004-05,20,149,193,538,California State University, Fullerton,466,1149,42,83,3,32
,2005-06,21,132,182,508,California State University, Fullerton,427,1013,45,76,6,29
,2006-07,22,138,188,546,California State University, Fullerton,402,933,35,72,3,27
