turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
42,1995-96,19,35,100,261,Pennsylvania State University,182,670,19,150,101,29
65,1996-97,20,15,87,236,Pennsylvania State University,204,706,15,134,92,27
,1997-98,21,34,156,377,Pennsylvania State University,294,,22,208,140,32
62,1998-99,22,24,157,414,Pennsylvania State University,306,942,17,236,95,27
