turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
44,2008-09,18,48,78,245,University of California, Santa Barbara,168,,15,103,5,31
87,2009-10,19,56,133,425,University of California, Santa Barbara,292,868,20,163,4,29
68,2010-11,20,57,167,520,University of California, Santa Barbara,358,1055,14,183,8,32
77,2011-12,21,86,180,495,University of California, Santa Barbara,383,1044,21,184,8,31
