turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
125,1991-92,20,188,209,590,University of Memphis,483,1224,86,237,45,34
109,1992-93,21,204,249,729,University of Memphis,522,1196,76,273,39,32
