turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2004-05,18,65,114,310,Indiana University-Purdue University Indianapolis,218,824,41,131,7,29
,2005-06,19,105,175,548,Indiana University-Purdue University Indianapolis,338,1019,49,173,9,29
,2006-07,20,10,27,73,Indiana University-Purdue University Indianapolis,53,142,8,27,0,5
94,2007-08,21,137,220,688,Indiana University-Purdue University Indianapolis,404,1179,57,216,13,32
