salary,season,team
5632200,2007-08,Los Angeles Lakers
6049400,2008-09,Charlotte Bobcats
6466600,2009-10,Golden State Warriors
6883800,2010-11,Golden State Warriors
1352181,2011-12,Atlanta Hawks
1352181,2012-13,Chicago Bulls
