salary,season,team
1594080,2009-10,Chicago Bulls
1713600,2010-11,Toronto Raptors
1833120,2011-12,Toronto Raptors
2812006,2012-13,Sacramento Kings
2500000,2014-15,Toronto Raptors
2500000,2015-16,Toronto Raptors
4000000,2016-17,Miami Heat
