salary,season,team
2040746,2007-08,Miami Heat
2612835,2008-09,Miami Heat
2750000,2009-10,Miami Heat
3500000,2010-11,Golden State Warriors
3823000,2011-12,Golden State Warriors
4106000,2012-13,Philadelphia 76ers
3000000,2013-14,Portland Trail Blazers
3150000,2014-15,Portland Trail Blazers
17637,2015-16,Miami Heat
