turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
45,2010-11,18,59,159,485,University of Michigan,379,1074,34,133,5,35
66,2011-12,19,73,167,495,University of Michigan,400,1162,16,130,11,34
71,2012-13,20,93,201,552,University of Michigan,460,1324,26,177,17,38
