turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
23,2009-10,18,12,13,41,Georgetown University,33,351,7,58,10,29
27,2010-11,19,12,17,43,Georgetown University,37,327,8,57,15,32
120,2012-13,21,79,188,530,Towson University,353,1116,21,346,60,31
124,2013-14,22,130,225,673,Towson University,425,1307,25,404,44,36
