off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
2,0,.667,1,2008-09,23,BOS,2,4,3,8,SF,1,regular,1,0,6
16,13,.467,17,2009-10,24,TOT,28,69,60,239,SF,35,regular,9,2,32
4,6,.429,7,2009-10,24,BOS,9,24,21,99,SF,16,regular,4,1,21
12,7,.487,10,2009-10,24,NYK,19,45,39,140,SF,19,regular,5,1,11
