turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2001-02,18,21,111,323,Bradley University,249,712,37,207,70,29
,2002-03,19,16,99,269,Bradley University,191,380,19,111,19,14
,2003-04,20,46,136,429,University of New Mexico,277,703,29,197,31,22
,2004-05,21,71,183,565,University of New Mexico,349,900,63,266,60,30
