salary,season,team
457588,2009-10,Cleveland Cavaliers
94154,2010-11,San Antonio Spurs
854389,2011-12,San Antonio Spurs
3500000,2012-13,San Antonio Spurs
3762500,2013-14,San Antonio Spurs
4025000,2014-15,San Antonio Spurs
10000000,2015-16,San Antonio Spurs
10000000,2016-17,San Antonio Spurs
