salary,season,team
826046,2007-08,Milwaukee Bucks
854957,2008-09,Philadelphia 76ers
1050000,2009-10,Milwaukee Bucks
1200000,2010-11,Oklahoma City Thunder
1200000,2011-12,Oklahoma City Thunder
1223166,2012-13,Philadelphia 76ers
