salary,season,team
2411160,2007-08,Memphis Grizzlies
2579400,2008-09,Memphis Grizzlies
3280997,2009-10,Memphis Grizzlies
13603750,2010-11,Memphis Grizzlies
15032144,2011-12,Memphis Grizzlies
16460538,2012-13,Toronto Raptors
17888931,2013-14,Sacramento Kings
19317325,2014-15,Sacramento Kings
12403101,2015-16,Sacramento Kings
13333333,2016-17,Sacramento Kings
