turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2003-04,20,27,103,312,Florida State University,187,687,27,138,20,33
,2004-05,21,16,76,205,Florida State University,167,525,23,128,16,30
,2005-06,22,21,127,383,Florida State University,235,723,31,216,30,29
