salary,season,team
125479,2007-08,Golden State Warriors
711517,2008-09,Golden State Warriors
1000497,2009-10,Golden State Warriors
3100000,2010-11,Chicago Bulls
3400000,2011-12,Chicago Bulls
2016000,2013-14,Indiana Pacers
2106720,2014-15,Indiana Pacers
5000000,2015-16,Orlando Magic
5000000,2016-17,Orlando Magic
