turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
81,1999-00,18,64,191,529,University of California, Los Angeles,368,1080,34,144,2,33
81,2000-01,19,72,167,551,University of California, Los Angeles,379,1122,38,183,4,32
63,2001-02,20,70,170,528,University of California, Los Angeles,370,1142,19,169,2,33
61,2002-03,21,59,171,487,University of California, Los Angeles,374,969,17,151,0,29
