turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
67,2008-09,19,93,132,367,West Virginia University,281,,29,273,25,35
75,2009-10,20,83,144,408,West Virginia University,315,1161,36,275,23,34
