turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2005-06,18,24,116,278,University of Washington,224,,35,215,3,33
,2006-07,19,35,175,453,University of Washington,318,,24,307,4,32
76,2007-08,20,35,237,568,University of Washington,442,,21,370,8,32
65,2008-09,21,39,190,506,University of Washington,361,,31,391,3,34
