turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
76,1998-99,20,17,155,359,California State University, Fresno,276,988,26,207,91,32
65,1999-00,21,27,180,411,California State University, Fresno,297,1035,23,216,92,31
89,2000-01,22,45,208,528,California State University, Fresno,357,1009,29,247,90,33
73,2001-02,23,50,246,653,California State University, Fresno,437,999,19,254,88,28
