turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
131,2001-02,18,273,123,358,University of Texas at Austin,298,1068,72,125,4,33
107,2002-03,19,254,159,495,University of Texas at Austin,397,1110,66,128,5,33
