salary,season,team
4752000,2007-08,Sacramento Kings
5104000,2008-09,Chicago Bulls
5456000,2009-10,Milwaukee Bucks
8000000,2010-11,Milwaukee Bucks
8500000,2011-12,Sacramento Kings
8083000,2012-13,Sacramento Kings
7583000,2013-14,Sacramento Kings
2000000,2014-15,Phoenix Suns
1000000,2014-15,Atlanta Hawks
