off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
20,0,.448,4,2007-08,23,TOT,13,34,29,123,C,29,regular,5,5,23
19,0,.462,3,2007-08,23,SAC,12,31,26,117,C,29,regular,5,5,22
1,0,.333,1,2007-08,23,HOU,1,3,3,6,C,0,regular,0,0,1
