turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
48,2010-11,18,61,52,135,California State University, Fresno,118,524,34,91,9,31
41,2011-12,19,81,113,308,California State University, Fresno,268,978,44,152,9,33
40,2012-13,20,58,130,351,California State University, Fresno,282,859,26,120,5,29
47,2013-14,21,103,196,556,California State University, Fresno,409,1177,36,256,13,35
