turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
47,1994-95,20,27,180,445,Virginia Union University,330,,36,295,111,31
58,1995-96,21,18,159,388,Virginia Union University,318,902,31,325,114,31
