salary,season,team
4602720,2011-12,Minnesota Timberwolves
4947840,2012-13,Minnesota Timberwolves
5016960,2013-14,Minnesota Timberwolves
6331404,2014-15,Sacramento Kings
4900000,2015-16,New York Knicks
4598000,2016-17,Miami Heat
402043,2016-17,Cleveland Cavaliers
