salary,season,team
2000160,2007-08,Orlando Magic
2139720,2008-09,Orlando Magic
2839408,2009-10,Orlando Magic
7250000,2010-11,Orlando Magic
6750000,2011-12,Orlando Magic
6190000,2012-13,Milwaukee Bucks
6300000,2013-14,Los Angeles Clippers
6583500,2014-15,Los Angeles Clippers
6867000,2015-16,Los Angeles Clippers
7377500,2016-17,Los Angeles Clippers
