salary,season,team
2356320,2011-12,Charlotte Bobcats
2532960,2012-13,Charlotte Bobcats
2568360,2013-14,Charlotte Bobcats
3272091,2014-15,Charlotte Hornets
12000000,2015-16,Charlotte Hornets
12000000,2016-17,Charlotte Hornets
