salary,season,team
14520000,2007-08,Milwaukee Bucks
15780000,2008-09,Milwaukee Bucks
17040000,2009-10,Milwaukee Bucks
18300000,2010-11,Milwaukee Bucks
1308506,2011-12,Phoenix Suns
