turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2001-02,19,59,63,156,University of Illinois at Urbana-Champaign,124,581,34,67,5,35
,2002-03,20,42,68,198,University of Illinois at Urbana-Champaign,131,509,27,71,3,25
,2003-04,21,75,107,319,University of Illinois at Urbana-Champaign,239,863,30,110,6,29
,2004-05,22,150,214,622,University of Illinois at Urbana-Champaign,462,1297,67,155,9,39
