turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2002-03,18,5,38,104,University of California, Los Angeles,64,401,6,85,21,24
,2003-04,19,15,64,182,University of California, Los Angeles,117,711,12,119,28,28
,2004-05,20,10,40,125,University of California, Los Angeles,76,460,0,94,23,28
,2005-06,21,10,83,231,University of California, Los Angeles,134,710,7,157,29,33
