turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
77,1996-97,18,91,134,406,Hofstra University,310,916,50,123,4,27
,1997-98,19,224,182,504,Hofstra University,375,,67,144,8,31
86,1998-99,20,159,136,399,Hofstra University,282,970,69,131,16,30
101,1999-00,21,186,253,706,Hofstra University,538,1089,102,168,5,31
