salary,season,team
1329480,2008-09,Cleveland Cavaliers
1429200,2009-10,Cleveland Cavaliers
1528920,2010-11,Cleveland Cavaliers
2354537,2011-12,Sacramento Kings
4000000,2012-13,Portland Trail Blazers
5150000,2013-14,Denver Nuggets
5381750,2014-15,Denver Nuggets
5613500,2015-16,Denver Nuggets
366337,2015-16,Washington Wizards
