turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
43,1999-00,19,34,109,323,University of Missouri,216,591,29,94,4,22
87,2000-01,20,51,192,549,University of Missouri,434,796,34,174,21,26
103,2001-02,21,89,249,712,University of Missouri,585,1149,39,188,22,36
