salary,season,team
770610,2007-08,Los Angeles Lakers
4500000,2008-09,Golden State Warriors
4140000,2009-10,Golden State Warriors
4000000,2010-11,New York Knicks
4360000,2011-12,Washington Wizards
1146337,2012-13,Los Angeles Clippers
1500000,2013-14,Minnesota Timberwolves
1500000,2014-15,Philadelphia 76ers
